,city,state,population_2018,population_2010,change,area_in_miles,area_in_kms,population_density_in_miles,population_density_in_kms,location,wiki_url,mayor,website
196,Waco,Texas,138183.0,124805.0,10.72,89.0,230.5,1510.0,580.0,31°33′36″N 97°11′10″W,"https://en.wikipedia.org/wiki/Waco,_Texas",City Council,Texas.com
197,Surprise,Arizona,138161.0,117517.0,17.57,107.9,279.5,1230.0,470.0,33°40′14″N 112°27′10″W,"https://en.wikipedia.org/wiki/Surprise,_Arizona",Skip Hall,www.surpriseaz.gov
198,Carrollton,Texas,136879.0,119097.0,14.93,36.3,94.0,3674.0,1419.0,32°59′18″N 96°53′59″W,"https://en.wikipedia.org/wiki/Carrollton,_Texas",Kevin Falconer,www.cityofcarrollton.com
199,West Valley City,Utah,136401.0,129480.0,5.35,35.5,91.9,3847.0,1485.0,40°41′19″N 112°00′42″W,"https://en.wikipedia.org/wiki/West_Valley_City,_Utah",,
200,Charleston,South Carolina,136208.0,120083.0,13.43,109.0,282.3,1233.0,476.0,32°49′04″N 79°57′32″W,"https://en.wikipedia.org/wiki/Charleston,_South_Carolina",John Tecklenburg,
201,Warren,Michigan,134587.0,134056.0,0.4,34.4,89.1,3928.0,1517.0,42°29′34″N 83°01′30″W,"https://en.wikipedia.org/wiki/Warren,_Michigan",James R. Fouts,
202,Hampton,Virginia,134313.0,137436.0,2.27,51.5,133.4,2629.0,1015.0,37°02′53″N 76°17′50″W,"https://en.wikipedia.org/wiki/Hampton,_Virginia",Donnie Tuck,www.hampton.gov
203,Gainesville,Florida,133857.0,124354.0,7.64,62.3,161.4,2112.0,815.0,29°40′44″N 82°20′46″W,"https://en.wikipedia.org/wiki/Gainesville,_Florida",Lauren Poe,
204,Visalia,California,133800.0,124442.0,7.52,37.5,97.1,3495.0,1349.0,36°19′38″N 119°19′44″W,"https://en.wikipedia.org/wiki/Visalia,_California",City Council,
205,Coral Springs,Florida,133507.0,121096.0,10.25,23.8,61.6,5465.0,2110.0,26°16′15″N 80°15′33″W,"https://en.wikipedia.org/wiki/Coral_Springs,_Florida", and ,www.CoralSprings.org
206,Columbia,South Carolina,133451.0,129272.0,3.23,133.5,345.8,1006.0,388.0,34°01′45″N 80°53′53″W,"https://en.wikipedia.org/wiki/Columbia,_South_Carolina",Stephen K. Benjamin,
207,Cedar Rapids,Iowa,133174.0,126326.0,5.42,70.8,183.4,1852.0,715.0,41°58′01″N 91°40′40″W,"https://en.wikipedia.org/wiki/Cedar_Rapids,_Iowa",,rapids.org
208,Sterling Heights,Michigan,132964.0,129699.0,2.52,36.5,94.5,3628.0,1401.0,42°34′52″N 83°01′49″W,"https://en.wikipedia.org/wiki/Sterling_Heights,_Michigan",Michael C. Taylor,
209,New Haven,Connecticut,130418.0,129779.0,0.49,18.7,48.4,6948.0,2683.0,41°18′39″N 72°55′30″W,"https://en.wikipedia.org/wiki/New_Haven,_Connecticut",Toni Harp,
210,Stamford,Connecticut,129775.0,122643.0,5.82,37.6,97.4,3434.0,1326.0,41°04′48″N 73°32′46″W,"https://en.wikipedia.org/wiki/Stamford,_Connecticut",David Martin,
211,Concord,California,129688.0,122067.0,6.24,30.5,79.0,4221.0,1630.0,37°58′20″N 122°00′06″W,"https://en.wikipedia.org/wiki/Concord,_California",Carlyn Obringer,
212,Kent,Washington,129618.0,92411.0,40.26,33.7,87.3,3784.0,1461.0,47°23′17″N 122°12′46″W,"https://en.wikipedia.org/wiki/Kent,_Washington",Dana Ralph (Elected November 2017),kentwa.gov
213,Santa Clara,California,129488.0,116468.0,11.18,18.4,47.7,6845.0,2643.0,37°21′53″N 121°58′04″W,"https://en.wikipedia.org/wiki/Santa_Clara,_California",City Council,
214,Elizabeth,New Jersey,128885.0,124969.0,3.13,12.3,31.9,10459.0,4038.0,40°39′59″N 74°11′37″W,"https://en.wikipedia.org/wiki/Elizabeth,_New_Jersey","J. Christian ""Chris"" Bollwage",
215,Round Rock,Texas,128739.0,99887.0,28.88,35.6,92.2,3396.0,1311.0,30°31′31″N 97°39′58″W,"https://en.wikipedia.org/wiki/Round_Rock,_Texas",,roundrocktexas.gov
216,Thousand Oaks,California,127690.0,126683.0,0.79,55.2,143.0,2335.0,902.0,34°11′36″N 118°52′27″W,"https://en.wikipedia.org/wiki/Thousand_Oaks,_California",,
217,Lafayette,Louisiana,126143.0,120623.0,4.58,53.8,139.3,2372.0,916.0,30°12′27″N 92°01′43″W,"https://en.wikipedia.org/wiki/Lafayette,_Louisiana",,www.lafayettetravel.com
218,Athens,Georgia,125964.0,115452.0,9.11,116.4,301.5,1060.0,410.0,33°56′59″N 83°22′12″W,"https://en.wikipedia.org/wiki/Athens,_Georgia",,athensclarkecounty.com
219,Topeka,Kansas,125904.0,127473.0,1.23,61.5,159.3,2062.0,796.0,39°02′05″N 95°41′46″W,"https://en.wikipedia.org/wiki/Topeka,_Kansas",Michelle De La Isla,topeka.org
220,Simi Valley,California,125851.0,124237.0,1.3,41.5,107.5,3044.0,1175.0,34°16′01″N 118°44′55″W,"https://en.wikipedia.org/wiki/Simi_Valley,_California",City council,
221,Fargo,North Dakota,124844.0,105549.0,18.28,49.3,127.7,2450.0,950.0,46°51′55″N 96°49′44″W,"https://en.wikipedia.org/wiki/Fargo,_North_Dakota",Tim Mahoney,
222,Norman,Oklahoma,123471.0,110925.0,11.31,178.8,463.1,683.0,264.0,35°14′26″N 97°20′43″W,"https://en.wikipedia.org/wiki/Norman,_Oklahoma",,
223,Columbia,Missouri,123180.0,108500.0,13.53,65.0,168.3,1856.0,717.0,38°57′06″N 92°19′43″W,"https://en.wikipedia.org/wiki/Columbia,_Missouri",,
224,Abilene,Texas,122999.0,117063.0,5.07,106.7,276.4,1146.0,442.0,32°27′16″N 99°44′17″W,"https://en.wikipedia.org/wiki/Abilene,_Texas",City Council,
225,Wilmington,North Carolina,122607.0,106476.0,15.15,51.6,133.6,2278.0,880.0,34°12′33″N 77°53′09″W,"https://en.wikipedia.org/wiki/Wilmington,_North_Carolina",Bill Saffo,www.wilmingtonnc.gov/
226,Hartford,Connecticut,122587.0,124775.0,1.75,17.4,45.1,7083.0,2735.0,41°45′57″N 72°40′54″W,"https://en.wikipedia.org/wiki/Hartford,_Connecticut",,
227,Victorville,California,122312.0,115903.0,5.53,73.3,189.8,1668.0,644.0,34°31′40″N 117°21′13″W,"https://en.wikipedia.org/wiki/Victorville,_California",Gloria Garcia,www.victorvilleca.gov
228,Pearland,Texas,122149.0,91252.0,33.86,46.3,119.9,2453.0,947.0,29°33′21″N 95°19′23″W,"https://en.wikipedia.org/wiki/Pearland,_Texas",,
229,Vallejo,California,121913.0,115942.0,5.15,30.7,79.5,3951.0,1525.0,38°06′28″N 122°15′50″W,"https://en.wikipedia.org/wiki/Vallejo,_California",Bob Sampayan,
